date,delhi,mumbai,chennai,kolkata,year,month,week_number
2026-01-16,94.77,103.54,100.84,105.45,2026,1,3
2026-01-15,94.77,103.54,100.84,105.45,2026,1,3
2026-01-14,94.77,103.54,100.84,105.45,2026,1,3
2026-01-13,94.77,103.54,100.84,105.45,2026,1,3
2026-01-12,94.77,103.54,100.84,105.45,2026,1,3
2026-01-11,94.77,103.54,100.84,105.45,2026,1,2
2026-01-10,94.77,103.54,100.84,105.45,2026,1,2
2026-01-09,94.77,103.54,100.84,105.45,2026,1,2
2026-01-08,94.77,103.54,100.84,105.45,2026,1,2
2026-01-07,94.77,103.54,100.84,105.45,2026,1,2
2026-01-06,94.77,103.54,100.84,105.45,2026,1,2
2026-01-05,94.77,103.54,100.84,105.45,2026,1,2
2026-01-04,94.77,103.54,100.84,105.45,2026,1,1
2026-01-03,94.77,103.54,100.84,105.45,2026,1,1
2026-01-02,94.77,103.54,100.84,105.45,2026,1,1
2026-01-01,94.77,103.54,100.84,105.45,2026,1,1
2025-12-31,94.77,103.54,100.80,105.41,2025,12,1
2025-12-30,94.77,103.54,100.80,105.41,2025,12,1
2025-12-29,94.77,103.54,100.80,105.41,2025,12,1
2025-12-28,94.77,103.54,100.80,105.41,2025,12,52
2025-12-27,94.77,103.54,100.80,105.41,2025,12,52
2025-12-26,94.77,103.54,100.80,105.41,2025,12,52
2025-12-25,94.77,103.54,100.80,105.41,2025,12,52
2025-12-24,94.77,103.54,100.80,105.41,2025,12,52
2025-12-23,94.77,103.54,100.80,105.41,2025,12,52
2025-12-22,94.77,103.54,100.80,105.41,2025,12,52
2025-12-21,94.77,103.54,100.80,105.41,2025,12,51
2025-12-20,94.77,103.54,100.80,105.41,2025,12,51
2025-12-19,94.77,103.54,100.80,105.41,2025,12,51
2025-12-18,94.77,103.54,100.80,105.41,2025,12,51
2025-12-17,94.77,103.54,100.80,105.41,2025,12,51
2025-12-16,94.77,103.54,100.80,105.41,2025,12,51
2025-12-15,94.77,103.54,100.80,105.41,2025,12,51
2025-12-14,94.77,103.54,100.80,105.41,2025,12,50
2025-12-13,94.77,103.54,100.80,105.41,2025,12,50
2025-12-12,94.77,103.54,100.80,105.41,2025,12,50
2025-12-11,94.77,103.54,100.80,105.41,2025,12,50
2025-12-10,94.77,103.54,100.80,105.41,2025,12,50
2025-12-09,94.77,103.54,100.80,105.41,2025,12,50
2025-12-08,94.77,103.54,100.80,105.41,2025,12,50
2025-12-07,94.77,103.54,100.80,105.41,2025,12,49
2025-12-06,94.77,103.54,100.80,105.41,2025,12,49
2025-12-05,94.77,103.50,100.80,105.41,2025,12,49
2025-12-04,94.77,103.50,100.80,105.41,2025,12,49
2025-12-03,94.77,103.50,100.80,105.41,2025,12,49
2025-12-02,94.77,103.50,100.80,105.41,2025,12,49
2025-12-01,94.77,103.50,100.80,105.41,2025,12,49
2025-11-30,94.77,103.50,100.80,105.41,2025,11,48
2025-11-29,94.77,103.50,100.80,105.41,2025,11,48
2025-11-28,94.77,103.50,100.80,105.41,2025,11,48
2025-11-27,94.77,103.50,100.80,105.41,2025,11,48
2025-11-26,94.77,103.50,100.80,105.41,2025,11,48
2025-11-25,94.77,103.50,100.80,105.41,2025,11,48
2025-11-24,94.77,103.50,100.80,105.41,2025,11,48
2025-11-23,94.77,103.50,100.80,105.41,2025,11,47
2025-11-22,94.77,103.50,100.80,105.41,2025,11,47
2025-11-21,94.77,103.50,100.80,105.41,2025,11,47
2025-11-20,94.77,103.50,100.80,105.41,2025,11,47
2025-11-19,94.77,103.50,100.80,105.41,2025,11,47
2025-11-18,94.77,103.50,100.80,105.41,2025,11,47
2025-11-17,94.77,103.50,100.80,105.41,2025,11,47
2025-11-16,94.77,103.50,100.80,105.41,2025,11,46
2025-11-15,94.77,103.50,100.80,105.41,2025,11,46
2025-11-14,94.77,103.50,100.80,105.41,2025,11,46
2025-11-13,94.77,103.50,100.80,105.41,2025,11,46
2025-11-12,94.77,103.50,100.80,105.41,2025,11,46
2025-11-11,94.77,103.50,100.80,105.41,2025,11,46
2025-11-10,94.77,103.50,100.80,105.41,2025,11,46
2025-11-09,94.77,103.50,100.80,105.41,2025,11,45
2025-11-08,94.77,103.50,100.80,105.41,2025,11,45
2025-11-07,94.77,103.50,100.80,105.41,2025,11,45
2025-11-06,94.77,103.50,100.80,105.41,2025,11,45
2025-11-05,94.77,103.50,100.80,105.41,2025,11,45
2025-11-04,94.77,103.50,100.80,105.41,2025,11,45
2025-11-03,94.77,103.50,100.80,105.41,2025,11,45
2025-11-02,94.77,103.50,100.80,105.41,2025,11,44
2025-11-01,94.77,103.50,100.80,105.41,2025,11,44
2025-10-31,94.77,103.50,100.80,105.41,2025,10,44
2025-10-30,94.77,103.50,100.80,105.41,2025,10,44
2025-10-29,94.77,103.50,100.80,105.41,2025,10,44
2025-10-28,94.77,103.50,100.80,105.41,2025,10,44
2025-10-27,94.77,103.50,100.80,105.41,2025,10,44
2025-10-26,94.77,103.50,100.80,105.41,2025,10,43
2025-10-25,94.77,103.50,100.80,105.41,2025,10,43
2025-10-24,94.77,103.50,100.80,105.41,2025,10,43
